Country,Year,Species,Population
Bangladesh,2010,Bengal Tiger,440
Bhutan,2010,Bengal Tiger,75
Cambodia,2010,Indochinese Tiger,20
China,2010,South China Tiger,45
India,2010,Bengal Tiger,1706
Indonesia,2010,Sumatran Tiger,325
Lao PDR,2010,Indochinese Tiger,17
Malaysia,2010,Malayan Tiger,500
Myanmar,2010,Indochinese Tiger,85
Nepal,2010,Bengal Tiger,155
Russia,2010,Siberian / Amur Tiger,360
Thailand,2010,Indochinese Tiger,200
Vietnam,2010,Indochinese Tiger,20
India,2014,Bengal Tiger,2226
India,2006,Bengal Tiger,1411
India,2005,Bengal Tiger,2000
India,2001,Bengal Tiger,3642
India,1997,Bengal Tiger,3508
India,1993,Bengal Tiger,3750
India,1989,Bengal Tiger,4334
India,1984,Bengal Tiger,4005
India,1979,Bengal Tiger,3015
India,1972,Bengal Tiger,1827
Malaysia,2014,Malayan Tiger,300
Russia,2005,Siberian / Amur Tiger,500
Russia,2009,Siberian / Amur Tiger,500
Russia,1996,Siberian / Amur Tiger,450
Russia,1985,Siberian / Amur Tiger,420
Russia,1971,Siberian / Amur Tiger,130
Lao PDR,2016,Indochinese Tiger,2
Vietnam,2016,Indochinese Tiger,5
China,2016,South China Tiger,7
Bhutan,2016,Bengal Tiger,103
Bangladesh,2016,Bengal Tiger,106
Thailand,2016,Indochinese Tiger,189
Nepal,2016,Bengal Tiger,198
Malaysia,2016,Malayan Tiger,250
Indonesia,2016,Sumatran Tiger,371
Russia,2016,Siberian / Amur Tiger,433
India,2016,Bengal Tiger,2226
Cambodia,2016,Indochinese Tiger,0
